CCPS616 - Lab 2 - Andy Lee
Each result is the average of  10 trials

k		mult4() 	mult3a() 	mult3b() 
174		13.6951		76.3749		13.2959
175		13.8958		76.9745		13.3955
176		13.9953		77.7747		13.5952
177		13.6955		78.3739		13.8958
178		13.9955		80.9733		14.0954
179		14.3951		79.2739		14.0954
180		14.5949		80.5739		13.6953
181		14.4948		80.4738		13.7955
182		15.0948		81.0739		13.8951
183		15.0953		81.6734		13.9949
184		15.395		82.0732		13.995
185		15.8952		82.6728		13.995
186		15.0952		84.4718		13.8954
187		15.6949		84.8718		13.9957
188		15.4945		84.2725		14.3954
189		15.7947		86.7715		14.2954
190		15.8949		87.3711		14.1954
191		16.2945		87.4712		14.3955
192		16.3942		87.8707		14.696
193		16.3948		89.3706		14.5951
194		16.5945		90.2704		14.4951
195		17.1942		90.6703		14.4951
196		16.9946		91.57		14.295
197		16.9947		92.3689		14.6958
198		17.7939		93.0695		14.3954
199		17.5934		94.6688		14.3959
200		17.7941		93.6696		14.3948
201		17.894		95.4685		14.7953
202		18.1938		96.3684		14.4952
203		18.3937		98.6679		14.4951
204		18.5933		98.0684		14.4949
205		18.7942		98.3673		14.495
206		19.3936		98.868		14.8945
207		19.0937		100.467		14.795
208		19.0934		99.4675		14.7954
209		19.3938		101.266		15.2951
210		19.6935		101.567		14.8951
211		19.5934		102.267		14.9949
212		19.7937		102.966		14.795
213		20.2932		104.266		14.7949
214		20.8931		103.766		14.8954
215		20.5927		104.766		15.1951
216		20.5973		105.761		14.9952
217		21.093		106.066		15.1946
218		20.9928		107.165		15.0949
219		21.4925		106.465		15.4947
220		21.2931		107.165		15.3949
221		21.7929		108.364		14.8953
222		22.1931		110.263		15.0951
223		21.6926		110.363		15.3956
224		22.792		111.264		15.2955
225		22.8921		112.663		15.4949
226		22.9925		114.662		15.6947
227		22.5916		114.662		15.595
228		23.192		115.162		15.5949
229		23.4922		115.862		15.6946
230		23.5921		117.661		15.7947
231		23.2923		117.462		15.3947
232		23.6923		120.26		15.9948
233		23.8927		119.361		15.7942
234		24.4922		121.86		15.9948
235		26.6912		128.458		17.0944
236		24.3918		122.76		15.9947
237		24.9915		125.459		15.8949
238		25.7912		123.259		15.8951
239		25.3912		125.659		15.9949
240		25.5917		126.458		16.4947
241		26.0916		125.259		16.7946
242		25.7913		128.458		16.7943
243		26.5912		130.357		16.7947
244		27.7907		134.756		17.5943
245		28.5907		146.452		18.6935
246		27.5906		133.556		17.0944
247		26.7912		132.056		17.3944
248		27.691		134.456		16.994
249		27.6909		134.356		17.3939
250		27.8905		139.354		17.4947
251		27.8913		137.554		17.7942
252		28.0906		137.855		17.7939
253		28.3904		140.258		18.2906
254		30.6896		138.854		18.5942
255		28.39		142.554		19.0937
256		28.8902		141.053		18.9945
257		29.0899		143.353		19.4938
258		29.1906		144.752		19.5936
259		29.3907		146.951		20.5931
260		30.5898		146.951		21.1933
261		30.49		148.451		21.4927
262		30.6898		148.751		21.8925
263		30.5899		150.45		22.3927
264		30.6902		151.45		22.9926
265		30.99		153.349		22.5926
266		30.69		155.349		23.492
267		31.7899		155.549		23.5918
268		31.5897		155.649		24.092
269		31.6898		157.149		24.1916
270		32.3896		157.948		24.7916
271		31.5892		158.148		25.0917
272		32.4892		158.848		25.0918
273		33.0891		160.447		25.1918
274		34.7887		165.246		25.5913
275		33.4889		167.045		26.3916
276		32.9892		163.646		27.2906
277		33.8884		166.446		26.8913
278		33.989		165.246		26.2911
279		34.289		168.844		27.091
280		33.8886		168.945		27.1911
281		34.1884		168.844		26.9914
282		34.8884		171.044		27.391
283		34.9885		172.043		27.691
284		34.8885		170.443		28.391
285		36.3877		175.242		28.391
286		35.688		173.743		30.0902
287		36.188		174.642		28.5907
288		35.6881		177.642		29.2904
289		36.8879		177.642		30.1899
290		36.6882		177.741		30.1903
291		36.7882		178.641		30.39
292		38.5875		186.139		31.9893
293		37.7871		181.741		30.7895
294		37.588		182.14		31.8896
295		39.2874		183.34		32.2892
296		38.7874		185.239		32.1893
297		38.4874		186.239		32.2889
298		38.1876		187.638		32.1891
299		39.1872		186.946		32.5818
300		39.0872		188.738		32.8894
